,name1,name2,levenshteinDistance,maxLength,normalized,jaccard
0,0,across,accross,1,7,0.14285714285714285
1,1,apparently,apparantly,1,10,0.1
2,2,appearance,appearence,1,10,0.1
3,3,argument,arguement,1,9,0.1111111111111111
4,4,assassination,assasination,1,13,0.07692307692307693
5,5,basically,basicly,2,9,0.2222222222222222
6,6,beginning,begining,1,9,0.1111111111111111
7,7,believe,beleive,2,7,0.2857142857142857
8,8,bizarre,bizzare,2,7,0.2857142857142857
9,9,business,buisness,2,8,0.25
10,10,calendar,calender,1,8,0.125
11,11,Caribbean,Carribean,2,9,0.2222222222222222
12,12,cemetery,cemetary,1,8,0.125
13,13,chauffeur,chauffer,1,9,0.1111111111111111
14,14,colleague,collegue,1,9,0.1111111111111111
15,15,coming,comming,1,7,0.14285714285714285
16,16,committee,commitee,1,9,0.1111111111111111
17,17,completely,completly,1,10,0.1
18,18,conscious,concious,1,9,0.1111111111111111
19,19,curiosity,curiousity,1,10,0.1
20,20,definitely,definately,1,10,0.1
21,21,dilemma,dilemna,1,7,0.14285714285714285
22,22,disappear,dissapear,2,9,0.2222222222222222
23,23,disappoint,dissapoint,2,10,0.2
24,24,ecstasy,ecstacy,1,7,0.14285714285714285
25,25,embarrass,embarass,1,9,0.1111111111111111
26,26,environment,enviroment,1,11,0.09090909090909091
27,27,existence,existance,1,9,0.1111111111111111
28,28,Fahrenheit,Farenheit,1,10,0.1
29,29,familiar,familar,1,8,0.125
30,30,finally,finaly,1,7,0.14285714285714285
31,31,fluorescent,florescent,1,11,0.09090909090909091
32,32,foreign,foriegn,2,7,0.2857142857142857
33,33,foreseeable,forseeable,1,11,0.09090909090909091
34,34,forty,fourty,1,6,0.16666666666666666
35,35,forward,foward,1,7,0.14285714285714285
36,36,friend,freind,2,6,0.3333333333333333
37,37,further,futher,1,7,0.14285714285714285
38,38,gist,jist,1,4,0.25
39,39,glamorous,glamourous,1,10,0.1
40,40,government,goverment,1,10,0.1
41,41,guard,gaurd,2,5,0.4
42,42,happen,happend,1,7,0.14285714285714285
43,43,honorary,honourary,1,9,0.1111111111111111
44,44,humorous,humourous,1,9,0.1111111111111111
45,45,idiosyncrasy,idiosyncracy,1,12,0.08333333333333333
46,46,immediately,immediatly,1,11,0.09090909090909091
47,47,incidentally,incidently,2,12,0.16666666666666666
48,48,independent,independant,1,11,0.09090909090909091
49,49,interrupt,interupt,1,9,0.1111111111111111
50,50,irresistible,irresistable,1,12,0.08333333333333333
51,51,knowledge,knowlege,1,9,0.1111111111111111
52,52,lollipop,lollypop,1,8,0.125
53,53,millennium,millenium,1,10,0.1
54,54,Neanderthal,Neandertal,1,11,0.09090909090909091
55,55,necessary,neccessary,1,10,0.1
56,56,noticeable,noticable,1,10,0.1
57,57,occasion,ocassion,2,8,0.25
58,58,occur,occured,2,7,0.2857142857142857
59,59,occurrence,occurance,2,10,0.2
60,60,pavilion,pavillion,1,9,0.1111111111111111
61,61,persistent,persistant,1,10,0.1
62,62,pharaoh,pharoah,2,7,0.2857142857142857
63,63,piece,peice,2,5,0.4
64,64,politician,politican,1,10,0.1
65,65,Portuguese,Portugese,1,10,0.1
66,66,possession,posession,1,10,0.1
67,67,prefer,prefered,2,8,0.25
68,68,propaganda,propoganda,1,10,0.1
69,69,publicly,publically,2,10,0.2
70,70,really,realy,1,6,0.16666666666666666
71,71,receive,recieve,2,7,0.2857142857142857
72,72,refer,refered,2,7,0.2857142857142857
73,73,religious,religous,1,9,0.1111111111111111
74,74,remember,rember,2,8,0.25
75,75,resistance,resistence,1,10,0.1
76,76,sense,sence,1,5,0.2
77,77,separate,seperate,1,8,0.125
78,78,siege,seige,2,5,0.4
79,79,successful,succesful,1,10,0.1
80,80,supersede,supercede,1,9,0.1111111111111111
81,81,surprise,suprise,1,8,0.125
82,82,tattoo,tatoo,1,6,0.16666666666666666
83,83,tendency,tendancy,1,8,0.125
84,84,therefore,therefor,1,9,0.1111111111111111
85,85,threshold,threshhold,1,10,0.1
86,86,tomorrow,tommorow,2,8,0.25
87,87,tongue,tounge,2,6,0.3333333333333333
88,88,truly,truely,1,6,0.16666666666666666
89,89,unforeseen,unforseen,1,10,0.1
90,90,unfortunately,unfortunatly,1,13,0.07692307692307693
91,91,until,untill,1,6,0.16666666666666666
92,92,weird,wierd,2,5,0.4
93,93,wherever,whereever,1,9,0.1111111111111111
94,94,which,wich,1,5,0.2
95,95,http://blog.oxforddictionaries.com/2013/04/does-spelling-matter/,http://blog.oxforddictionaries.com/2013/04/does-spelling-matter/,0,64,0.0
96,96,http://blog.oxforddictionaries.com/2014/04/rule-breaking-words-beginning-q/,http://blog.oxforddictionaries.com/2014/04/rule-breaking-words-beginning-q/,0,75,0.0
97,97,http://blog.oxforddictionaries.com/2014/03/book-quiz-working-titles/,http://blog.oxforddictionaries.com/2014/03/book-quiz-working-titles/,0,68,0.0
